Company Name Israel,Company Name - Global
Microsoft,Sap
Ebay,Bill.com
General Motors,Handshake
Moon Active,Smartsheet
Placer,Google
AppsFlyer,Paycom
Outbrain,Google
Quris,Simpl
Meta,Just Eat
Unity,GamesKraft
Atera,
Tabnine,
Personatics,
Doit,
Riskified,
D-ID,
Activefence,
Payoneer,
Lightricks,
DeepInstinct,
Final,
Claroty,
Papaya Global,
Guardio,
Env0,
Cybereason,
One zero,
Starbursr (varada),
Salt,
Autobrains,
Solidus Labs,
Sightful,
Retrain.ai,
Nayax,
Via,
tipalti,
Argus,
Similarweb,
Unity,
Cellebrite,
Honeybook,
Claroty,
Yotpo,
Kaltura,
Trax Retail,
Rapyd,
PlaxidityX (formerly Argus Cyber Security),
Augury,
TytoCare,
Payem,
PayZen,
Verbit,
Fiverr,
Ziprecruiter,
Vyzer,
NSO,
Ludeo,
Amazon,
Axonius,
Cymulate,
Balance,External Tech Alerts
Spot.io,External Tech Alerts
